siteid,amount,st
275,54,дуб сонома
275,54,соло 7
275,54,лагуна
275,54,стол лайт-2
275,54,2281
275,54,стенка марта-11 (флора) (цвет венге белфорт)
275,54,шкаф купе №11
275,53,5756
275,53,тахта элегия
275,53,угловой диван олимп
275,53,1788
275,53,угловой диван амстердам
275,53,комод вега к-02
275,53,7000
275,53,кухонные диваны
275,53,719
275,53,диван лайт
275,53,кровать-машина
275,53,наоми
275,53,1389
275,53,шкафы эко
275,52,двухъярусные кровати
275,52,стойка
275,52,угловой диван атлант
275,52,стул с6 мягкая спинка
275,52,3088
275,52,елена 4
275,52,шкаф-купе альянс-2 1500
275,52,3048
275,52,фаворит
275,52,прага
275,52,стул барный
275,52,шкафы лотос
275,52,основание
275,52,обеденные столы
275,52,кровать бася
275,51,стремянка
275,51,кухня кофе
275,51,детская сказка
275,51,шкаф классика
275,51,стенка макарена-5а
275,51,кресло кровать виктория
275,51,комод монтана
275,51,юнона-2
275,51,optima
275,51,кресло анна
275,51,5626
275,51,кухонный угловой диван «этюд со спальным местом» sl
275,51,конрад
275,51,стол косметический
275,50,алмаз
275,50,лестница
275,50,лайт 2
275,50,выкатной
275,50,шкаф комфорт
275,50,матрас стандарт
275,50,комод к-8
275,50,стенка атлантида
275,50,стенка флора
275,50,1187
275,50,6000
275,50,шкаф-купе бася 2.0
275,50,стол обеденный прямая нога
275,50,шкаф-пенал
275,50,24000
275,49,барный
275,49,табурет прямая нога
275,49,тв-тумбы
275,49,ларго
275,49,еш-02
275,49,"детская кровать дельфин мдф 1,8 м."
275,49,карина
275,49,1339
275,49,угловые шкафы
275,49,кровать волжанка 1.4 м
275,49,гранд
275,49,кухня модерн
275,48,фартук
275,48,комод венеция
275,48,книжные шкафы
275,48,шкаф купе комфорт
275,48,диван лодочка
275,48,40000
275,48,угловой диван виктория 2-1 (дельфин)
275,48,пуф с ящиком
275,48,новь
275,48,tv
275,48,6288
275,48,шкаф бьянка
275,48,шкаф белый
275,48,стол журнальный сж-4
275,48,стол компьютерный с надстройкой
275,48,5386
275,48,плинтус
275,47,2003
275,47,груша
275,47,диван париж
275,47,отзывы
275,47,верона
275,47,тумба под мойку
275,47,комфорт 13
275,47,шкаф камила
275,47,юджи
275,47,даллас
275,47,кровать 1400
275,47,1434
275,47,кровать-машинка romack
275,47,5766
275,47,кухня зара
275,47,гостиная ривьера
275,47,наматрасники
275,47,эко 5
275,47,фея
275,47,компьютерное кресло нота самба
275,47,милтон
275,47,еврокнижка
275,46,кровать с матрасом
275,46,шкаф для одежды
275,46,"шайба \"comfort vellut"
275,46,тумба угловая
275,46,диван клик-кляк
275,46,шкаф с зеркалом
275,46,блюз
275,46,стенка марта-11 (флора) (цвет венге/белфорт)
275,46,5566
275,46,угловая полка
275,46,4989
275,46,сатурн
275,45,шкаф модерн
275,45,мдф орех
275,45,стул складной
275,45,диван магнат
275,45,грета
275,45,кухонные столы
275,45,тумба прикроватная лдсп со штапиком
275,45,лючия
275,45,шкаф на кухню
275,45,1269
275,45,тифани
275,45,диван офисный
275,45,диван ручеёк клик-кляк массив (книжка)
275,45,двухярусная кровать
275,45,коралл
275,45,александра
275,45,полка книжная
275,45,онега шк
275,45,диван-книжка кордон - шенилл
275,45,fortuna
275,44,матрас классик (800х1600 мм) 12h
275,44,легенда 6
275,44,самовывоз
275,44,кожаный диван
275,44,подставка
275,44,диван фортуна (амстердам) бежевый
275,44,костер
275,44,детская модульная мебель
275,44,стул премьер
275,44,тахта элегия угловая
275,44,стенка макарена эко
275,43,раковина
275,43,шкаф со стеклом
275,43,3195
275,43,кровать с ящиками
275,43,мадейра
275,43,комод к 8.16
275,43,1488
275,43,матрас standart semplice light
275,43,смеситель
275,43,тахта люкс 1600
275,43,прихожая виктория
275,43,оскар-7а модена
275,43,детский стул
275,43,альянс 3
275,43,алмаз 3д
275,42,напольная вешалка
275,42,кухонный угол
275,42,стул венский
275,42,бридж
275,42,обои
275,42,кровать лдсп 1600х2000 мм
275,42,виктория 3-1
275,42,988
275,42,шкаф распашной
275,42,"шайба \"boss"
275,42,атлантида 7
275,42,2279
275,42,стенка соло №8
275,42,"детская кровать дельфин-2 мдф 1,6 м."
275,42,1472
275,42,5700
275,42,полермо
275,42,кресло качалки
275,42,детские диваны
275,42,стиль 2
275,42,мягкая мебель
275,42,тумба прикроватная лдсп
275,42,диван лотос
275,42,бассо
275,41,"шкаф 2х-створчатый \"ронда\""
275,41,кресло отдыха глория-эконом 2
275,41,обеденный стол
275,41,инфинити
275,41,ванная
275,41,малютка
275,41,кроватка
275,41,короб
275,41,5974
275,41,4641
275,41,стенка соло №6
275,41,комод сакура
275,41,браво
275,41,вега 34
275,41,марсель
275,41,ротанг
275,41,релакс
275,41,антресоль для шкафа на 800
275,41,николь
275,41,мк стиль
275,41,ящик
275,41,прихожая ксения
275,41,престиж самба
275,40,наматрасник аквастоп
275,40,кофе
275,40,шторы
275,40,лион
275,40,вешалка настенная
275,40,маджеста-6
275,40,"стол письменный \"стенли\""
275,40,анна кресло
275,40,мебельный двор
275,40,бар
275,40,киота
275,40,дельфин мдф
275,40,км 04
275,40,феррара
275,40,столы обеденные
275,40,олимп нексус
275,40,комод к 5.24
275,40,диван-кровать релакс 1800
275,40,детская кроватка
275,39,шкаф элегант
275,39,ирма
275,39,костер-8
275,39,кухню
275,39,комод к2
275,39,виктория аккордеон
275,39,вайт
275,39,пенза мебель
275,39,ск-7
275,39,обеденные группы
275,39,трия
275,39,детская мийа
275,39,лодочка
275,39,диван-кровать виктория-5
275,39,модульная детская
275,39,шкаф-антресоль
275,39,кушетки
275,39,кухня с фотопечатью
275,39,элегант 3
275,39,столик туалетный
275,38,лира 1500
275,38,марта 18
275,38,визит
275,38,"кровать фиеста 0,9"
275,38,прихожая ната-лина м
275,38,диван волна
275,38,шкаф угловой фиеста
275,38,дарина
275,38,обувница открытая
275,38,2000
275,38,лик
275,38,модульная спальня
275,38,5.01
275,38,мираж
275,37,стол журнальный сатурн-м05
275,37,2.06
275,37,изабелла
275,37,диван выкатной гармония-1
275,37,light
275,37,амелия
275,37,кровать мона
275,37,4000
275,37,комод лотос
275,37,1222
275,37,альба
275,37,чердак
275,37,барные стулья
275,37,шкаф 4-створчатый фиеста
275,37,стенка марта 18
275,37,угловая стенка
